alternative,One alternative to buying a pet in a pet store is adopting one from a shelter.
anticipate,Will you be home tomorrow? I anticipate a few packages arriving in the mail.
chemical,It is common to  clean a bathroom or kitchen with strong chemicals like bleach.
consequence,"If you break the law, you might face consequences like going to jail."
struggle,She always struggles to finish her food.
devastating,An earthquake can have devastating effects on a city.
keen,I'm keen to try the new Indian restaurant.
sustainable,The woman moved to the countryside in hopes of living a more sustainable lifestyle.
account,The cafe owner says the sale of coffee drinks accounts for 80 percent of his store's income.
adopt,She *adopted* a British accent white living in London.
deprive,"Homeless children are deprived of food, but more importantly a peaceful, happy childhood."
estimated,I pay an estimated 20 percent in taxes.
ethical,Itâ€™s not ethical for  companies to pay their workers so little.
impact,No one could have predicted the impact the iPhone would have on communication.
modify,I have to modify the design slightly for it to work.
vital,At this company we believe every employee is vital to our success.
alarming,Hearing strange noises in your home at night can be very alarming .
accumulate,He accumulated enough savings to buy a house.
ambitious,Jamie Olivet's plan to improve school lunches across the country was very ambitious .
launch,The magazine launched its first issue with a big party.
persistence,Only with persistence will you be able to find enough money to start your business.
unite,The Internet has helped unite people around the world.
volunteer,My father volunteers his time at the church.
waste,The factory has to pay money to remove its waste .
availability,The availability of ice cream decreases in cold weather.
drastically,The new plan is drastically different from the original one.
endangered,The bald eagle is on the list of endangered animals.
exceed,Sales of the new product exceeded our estimates.
lack,Amy lacked the time to do everything she needed to before her trip.
shortage,A shortage of oil made gasoline more expensive.
strain,Moving many heavy boxes put a strain on Henry's back.
sustain,The wood for this furniture is taken from a sustainable source.
